iter	RMSE
0	74778.78239
1	72576.58327
2	70239.3378
3	68207.70399
4	66113.07906
5	64242.1446
6	62407.46771
7	60771.11711
8	59316.64139
9	57798.70169
10	56482.50896
11	55049.98487
12	53603.85237
13	52388.53238
14	51290.11405
15	50230.08992
16	49096.27727
17	47991.47077
18	46892.61328
19	45845.48819
20	44898.75386
21	43868.86011
22	43065.42329
23	42299.01357
24	41447.90396
25	40693.30874
26	39939.28254
27	39258.93967
28	38560.19842
29	37855.50477
30	37213.32824
31	36483.458
32	35873.81626
33	35288.74583
34	34782.09347
35	34190.78561
36	33676.44733
37	33157.78657
38	32621.91777
39	32155.78351
40	31758.91638
41	31259.47703
42	30932.10544
43	30530.65753
44	30167.25851
45	29782.75187
46	29477.69488
47	29108.74429
48	28755.14245
49	28477.41218
50	28157.58175
51	27818.99334
52	27552.39077
53	27327.81103
54	27023.7482
55	26774.60035
56	26522.87863
57	26266.44365
58	26035.28283
59	25783.53408
60	25560.36011
61	25370.87945
62	25198.54053
63	24993.62869
64	24810.77073
65	24626.68953
66	24489.00136
67	24298.15777
68	24116.93025
69	23935.74894
70	23749.80093
71	23555.29913
72	23372.88113
73	23249.66042
74	23050.94664
75	22925.11575
76	22819.51589
77	22741.6809
78	22581.01224
79	22424.9742
80	22282.91305
81	22164.46557
82	22050.39399
83	21900.94985
84	21769.32375
85	21640.33044
86	21520.54291
87	21409.89499
88	21282.06387
89	21207.11866
90	21094.99177
91	20991.60012
92	20889.72958
93	20835.82438
94	20726.06101
95	20645.56237
96	20525.59642
97	20438.83082
98	20330.51553
99	20242.31858
100	20155.53839
101	20075.05842
102	19978.28377
103	19881.64636
104	19790.02152
105	19732.91272
106	19658.35861
107	19569.11096
108	19483.80599
109	19430.38941
110	19329.15623
111	19250.89818
112	19195.33689
113	19136.35715
114	19073.49896
115	18982.65471
116	18889.26088
117	18793.08759
118	18721.77236
119	18681.35656
120	18626.4679
121	18576.25136
122	18503.60696
123	18443.02086
124	18393.58031
125	18357.37327
126	18278.82106
127	18250.58424
128	18197.04749
129	18150.86396
130	18077.67544
131	18021.51585
132	17968.18061
133	17920.79367
134	17870.66065
135	17822.22666
136	17749.56931
137	17679.84667
138	17609.6875
139	17551.00063
140	17499.8546
141	17435.02186
142	17371.62452
143	17323.57357
144	17283.50752
145	17263.17395
146	17214.61119
147	17197.32224
148	17134.5553
149	17086.06616
150	17032.67032
151	16989.94286
152	16951.70591
153	16928.68722
154	16875.3128
155	16849.04977
156	16795.55466
157	16755.68386
158	16702.18191
159	16638.1898
160	16581.81899
161	16569.9378
162	16525.13852
163	16467.45582
164	16416.08378
165	16361.10761
166	16317.9997
167	16275.57849
168	16231.82074
169	16195.88444
170	16148.38292
171	16124.48666
172	16104.90749
173	16072.91566
174	16033.77755
175	15986.5136
176	15960.41289
177	15914.00099
178	15902.88869
179	15843.9412
180	15802.06866
181	15764.61128
182	15723.25689
183	15681.55395
184	15664.00815
185	15626.15054
186	15579.96358
187	15535.67514
188	15491.84919
189	15439.06846
190	15411.88429
191	15355.67324
192	15338.81578
193	15304.89898
194	15262.68497
195	15218.7255
196	15177.88392
197	15125.26671
198	15085.79018
199	15058.42369
200	15048.63802
201	15028.69477
202	15003.70093
