iter	Passed	Remaining
0	2	2514
1	5	2529
2	6	2172
3	8	2061
4	9	1898
5	10	1799
6	12	1732
7	13	1658
8	14	1618
9	16	1604
10	17	1595
11	19	1572
12	20	1552
13	22	1551
14	23	1549
15	24	1537
16	26	1533
17	27	1523
18	29	1535
19	31	1566
20	33	1545
21	34	1533
22	35	1520
23	37	1511
24	38	1503
25	39	1496
26	41	1491
27	42	1482
28	44	1480
29	45	1471
30	47	1484
31	48	1476
32	50	1475
33	51	1467
34	53	1462
35	54	1456
36	55	1454
37	57	1452
38	58	1450
39	60	1444
40	61	1439
41	63	1439
42	64	1441
43	66	1435
44	67	1432
45	68	1428
46	70	1423
47	71	1421
48	73	1417
49	74	1412
50	75	1409
51	77	1412
52	79	1418
53	80	1416
54	82	1412
55	83	1407
56	84	1405
57	86	1402
58	87	1397
59	88	1393
60	90	1388
61	92	1397
62	93	1394
63	94	1389
64	96	1387
65	98	1392
66	100	1395
67	101	1392
68	103	1395
69	105	1395
70	106	1389
71	107	1384
72	108	1382
73	110	1378
74	111	1374
75	113	1374
76	114	1371
77	116	1372
78	117	1369
79	118	1368
80	120	1366
81	122	1372
82	124	1372
83	125	1370
84	127	1368
85	128	1368
86	131	1376
87	133	1387
88	136	1393
89	138	1398
90	139	1394
91	141	1392
92	142	1388
93	143	1384
94	146	1393
95	147	1391
96	149	1392
97	151	1390
98	152	1387
99	153	1384
100	155	1381
101	156	1377
102	158	1376
103	159	1374
104	160	1371
105	162	1367
106	163	1364
107	164	1362
108	166	1360
109	168	1360
110	169	1358
111	171	1355
112	172	1353
113	173	1351
114	175	1349
115	176	1345
116	178	1345
117	179	1343
118	181	1342
119	182	1339
120	183	1336
121	185	1336
122	187	1337
123	190	1348
124	195	1366
125	198	1374
126	200	1375
127	202	1377
128	203	1376
129	206	1378
130	208	1384
131	211	1388
132	213	1391
133	214	1387
134	215	1383
135	217	1381
136	219	1379
137	220	1377
138	221	1374
139	223	1371
140	224	1367
141	225	1365
142	227	1366
143	229	1363
144	231	1364
145	232	1361
146	234	1358
147	235	1355
148	236	1352
149	238	1349
150	239	1346
151	240	1344
152	242	1341
153	243	1338
154	244	1335
155	246	1335
156	248	1332
157	249	1330
158	250	1327
159	252	1324
160	253	1322
161	254	1318
162	256	1315
163	257	1312
164	258	1309
165	261	1312
166	262	1309
167	264	1307
168	265	1304
169	266	1302
170	268	1301
171	270	1300
172	271	1296
173	277	1318
174	285	1346
175	292	1369
176	297	1381
177	298	1380
178	300	1377
179	302	1376
180	304	1376
181	305	1374
182	308	1376
183	309	1374
184	311	1371
185	312	1369
186	314	1368
187	316	1368
188	318	1365
189	319	1363
190	320	1359
191	322	1357
192	323	1353
193	325	1353
194	327	1350
195	328	1347
196	329	1344
197	331	1342
198	332	1339
199	334	1336
200	335	1333
201	336	1331
202	338	1329
203	340	1327
204	341	1325
205	343	1322
206	344	1318
207	345	1315
208	347	1315
209	349	1312
210	350	1310
211	352	1309
212	354	1309
213	355	1307
214	357	1305
215	358	1302
216	360	1300
217	362	1298
218	363	1296
219	364	1293
220	366	1291
221	367	1288
222	369	1286
223	370	1284
224	372	1282
225	373	1279
226	374	1276
227	376	1273
228	377	1272
229	379	1271
230	381	1269
231	382	1267
232	384	1264
233	385	1262
234	387	1260
235	389	1259
236	390	1257
237	391	1254
238	392	1251
239	394	1250
240	396	1247
241	397	1245
242	398	1242
243	400	1240
244	402	1240
245	403	1237
246	405	1234
247	406	1231
248	407	1228
249	408	1226
250	410	1224
251	411	1221
252	412	1219
253	414	1216
254	415	1214
