iter	Accuracy	CrossEntropy
0	0.779119931	0.6777332635
1	0.7830025884	0.6623257939
2	0.7831463906	0.6483940703
3	0.7871728502	0.6340411369
4	0.7884670693	0.6214536417
5	0.7887546736	0.6096957445
6	0.7890422778	0.5975503101
7	0.78918608	0.5859501087
8	0.7896174863	0.5765043641
9	0.7884670693	0.5681002865
10	0.7894736842	0.5597904446
11	0.7883232672	0.5523638312
12	0.7897612885	0.5455200976
13	0.7904802991	0.5395025925
14	0.7917745183	0.5326430964
15	0.7919183204	0.5272297404
16	0.7899050906	0.5216003261
17	0.7906241012	0.5165805733
18	0.7927811332	0.511572668
19	0.7922059246	0.5068940388
20	0.7929249353	0.5025461045
21	0.7930687374	0.4975632885
22	0.7922059246	0.4928055836
23	0.7937877481	0.488892772
24	0.7935001438	0.4852856
25	0.7942191544	0.4823180033
26	0.7940753523	0.4794240685
27	0.7953695715	0.4764986532
28	0.7960885821	0.4745283424
29	0.7972389991	0.4719311205
30	0.797095197	0.4696520624
31	0.79594478	0.4671048722
32	0.7963761864	0.463980902
33	0.7975266034	0.462156003
34	0.7963761864	0.460189758
35	0.7976704055	0.4590737525
36	0.7979580098	0.4573170311
37	0.7978142077	0.4554091884
38	0.7976704055	0.4532893933
39	0.7978142077	0.4518665989
40	0.7989646247	0.4507356325
41	0.7986770204	0.4493703861
42	0.7988208225	0.4469816792
43	0.7979580098	0.4459008657
44	0.7983894162	0.4447947427
45	0.798245614	0.443373
46	0.7988208225	0.4421665419
47	0.7992522289	0.4409191058
48	0.7986770204	0.4398887727
49	0.7993960311	0.4383821417
50	0.8006902502	0.4373045634
51	0.8008340523	0.4363576555
52	0.8002588438	0.4349113191
53	0.8011216566	0.4328638588
54	0.8021282715	0.4314622682
55	0.801553063	0.4303999073
56	0.8012654587	0.4289271565
57	0.801553063	0.4276826988
58	0.8018406672	0.4267698892
59	0.8012654587	0.4255159372
60	0.8019844694	0.4247000516
61	0.801553063	0.4241808373
62	0.8018406672	0.4233822318
63	0.8018406672	0.4221989981
64	0.80270348	0.4212403383
65	0.80270348	0.4205865712
66	0.8025596779	0.4188480021
67	0.8037100949	0.4182022728
68	0.8034224907	0.4173819771
69	0.8034224907	0.4167173407
70	0.8035662928	0.4158569969
71	0.8034224907	0.4153442505
72	0.803853897	0.4148517464
73	0.8039976992	0.4141295699
74	0.8041415013	0.4132678852
75	0.8037100949	0.4123385557
76	0.8045729077	0.4118184169
77	0.8045729077	0.4114120822
78	0.8045729077	0.4108537517
79	0.8047167098	0.410330184
80	0.8050043141	0.4096455488
81	0.8050043141	0.4092954092
82	0.8055795226	0.4086556523
83	0.8051481162	0.4082359304
84	0.8051481162	0.4074993707
85	0.8065861375	0.4063595509
86	0.807161346	0.4057816454
87	0.8075927524	0.4055430579
88	0.8073051481	0.4052028623
89	0.8075927524	0.4048949236
90	0.8078803566	0.4041733301
91	0.8081679609	0.4038471279
92	0.8081679609	0.4032514529
93	0.8080241588	0.4029840621
94	0.8081679609	0.4027569982
95	0.808311763	0.4021415748
96	0.8090307737	0.4016430402
97	0.8093183779	0.4010288115
98	0.8097497843	0.4006112388
99	0.8097497843	0.4003814562
100	0.8100373886	0.3999971496
101	0.8098935864	0.3997884231
102	0.8101811907	0.3993687959
103	0.8104687949	0.3985646463
104	0.8106125971	0.3982809376
105	0.8107563992	0.3980134739
106	0.8107563992	0.3977080909
107	0.8113316077	0.3971133271
108	0.8114754098	0.396539577
109	0.8113316077	0.3961720793
110	0.8114754098	0.3958043819
111	0.8113316077	0.395452641
112	0.8113316077	0.3948228896
113	0.8119068162	0.3938848423
114	0.812769629	0.3932789173
115	0.8129134311	0.3930055867
116	0.8120506183	0.3926288994
117	0.8134886396	0.3922621232
118	0.8133448375	0.3920528464
119	0.8143514524	0.3916221477
120	0.8143514524	0.3913158482
121	0.8147828588	0.3911515819
122	0.8147828588	0.3909501672
123	0.815070463	0.3903269175
124	0.8149266609	0.3900758142
125	0.8146390567	0.389934473
126	0.8149266609	0.3895090448
127	0.8162208801	0.388898568
128	0.8163646822	0.3886829863
129	0.8167960886	0.388382391
130	0.8170836928	0.3881429045
131	0.8170836928	0.3879644535
132	0.817227495	0.3874246776
133	0.8175150992	0.3871806611
134	0.818377912	0.3867893194
135	0.8186655162	0.3862914755
136	0.8190969226	0.3860130346
137	0.819528329	0.3858258928
138	0.8196721311	0.3857420228
139	0.8199597354	0.385560772
140	0.8201035375	0.3850104501
141	0.8205349439	0.3846992691
142	0.8215415588	0.3841683481
