iter	Passed	Remaining
0	14	14232
1	16	8251
2	18	6266
3	20	5088
4	22	4401
5	23	3917
6	25	3574
7	26	3315
8	28	3116
9	29	2951
10	33	3000
11	35	2905
12	36	2807
13	38	2731
14	40	2681
15	42	2630
16	44	2583
17	46	2555
18	48	2500
19	49	2440
20	51	2394
21	53	2377
22	55	2362
23	57	2324
24	58	2288
25	60	2258
26	61	2225
27	63	2200
28	65	2183
29	67	2170
30	68	2150
31	70	2129
32	71	2109
33	73	2099
34	75	2081
35	76	2061
36	78	2044
37	80	2034
38	82	2021
39	83	2009
40	85	1997
41	87	1990
42	89	1989
43	91	1987
44	93	1990
45	95	1982
46	97	1969
47	98	1958
48	100	1954
49	102	1954
50	104	1949
51	106	1948
52	108	1942
53	110	1939
54	112	1936
55	114	1931
56	116	1926
57	118	1920
58	120	1918
59	122	1913
60	123	1908
61	126	1907
62	128	1914
63	130	1903
64	131	1894
65	133	1893
66	135	1887
67	137	1887
68	139	1884
69	141	1880
70	144	1884
71	145	1879
72	147	1874
73	149	1869
74	151	1865
75	153	1862
76	154	1857
77	156	1853
78	158	1849
79	160	1845
80	162	1844
81	164	1841
82	166	1839
83	169	1845
84	171	1841
85	173	1843
86	175	1842
87	177	1843
88	179	1840
89	182	1846
90	184	1844
91	186	1838
92	188	1835
93	190	1833
94	192	1829
95	193	1825
96	195	1822
97	197	1820
98	199	1819
99	201	1816
100	203	1811
101	204	1803
102	206	1796
103	207	1790
104	209	1783
105	211	1779
106	213	1778
107	215	1777
108	217	1781
109	219	1776
110	221	1772
111	222	1765
112	224	1762
113	226	1760
114	228	1757
115	230	1754
116	232	1752
117	233	1747
118	235	1743
119	237	1738
120	238	1733
121	240	1730
122	259	1853
123	262	1856
124	266	1862
125	268	1864
126	270	1860
127	273	1859
128	275	1863
129	277	1859
130	280	1860
131	282	1856
132	283	1850
133	285	1846
134	287	1843
135	289	1841
136	291	1837
137	293	1834
138	295	1831
139	297	1829
140	299	1825
141	301	1821
142	303	1817
143	305	1813
144	306	1810
145	308	1806
146	310	1802
147	312	1798
148	315	1800
149	317	1796
150	318	1793
151	320	1790
152	322	1785
153	324	1781
154	326	1778
155	328	1775
156	330	1772
157	332	1769
158	334	1766
159	335	1763
160	337	1760
161	339	1757
162	341	1755
163	343	1751
164	345	1749
165	347	1746
166	349	1743
167	351	1739
168	353	1735
169	355	1733
170	357	1731
171	359	1729
172	362	1732
173	364	1731
174	367	1731
175	369	1729
176	370	1724
177	372	1721
178	374	1718
179	376	1713
180	378	1710
181	379	1706
182	381	1701
183	382	1697
184	384	1695
185	386	1692
186	388	1690
187	390	1688
188	393	1687
189	395	1684
190	396	1680
191	398	1678
192	400	1675
193	402	1672
194	404	1669
195	406	1666
196	408	1663
197	410	1661
198	412	1659
199	414	1656
200	416	1654
201	418	1653
202	420	1649
203	422	1647
204	424	1644
205	426	1642
206	428	1639
207	429	1636
208	431	1633
209	433	1632
210	436	1632
211	438	1628
212	440	1626
213	442	1623
214	444	1622
215	446	1618
216	447	1614
217	449	1611
218	451	1608
219	453	1606
220	454	1603
221	456	1601
222	458	1598
223	461	1600
224	463	1597
225	465	1594
226	468	1594
227	470	1591
228	472	1589
229	473	1586
230	475	1583
231	477	1580
232	479	1579
233	482	1578
234	484	1575
235	485	1573
236	487	1570
237	489	1568
238	491	1566
239	493	1563
240	495	1561
241	497	1559
242	499	1556
243	501	1554
244	503	1552
245	505	1549
246	507	1546
247	509	1543
248	510	1539
249	512	1537
250	514	1534
251	516	1532
252	517	1529
253	519	1527
254	521	1524
255	523	1522
256	526	1521
257	527	1517
258	529	1514
259	531	1511
260	533	1509
261	535	1507
262	537	1505
263	539	1502
264	541	1500
265	542	1497
266	544	1494
267	546	1491
268	548	1489
269	550	1487
270	552	1485
271	554	1482
272	555	1480
273	557	1477
274	559	1474
275	561	1472
276	563	1470
277	565	1467
278	567	1465
279	569	1464
280	571	1462
281	574	1461
282	575	1459
283	578	1457
284	579	1455
285	581	1452
286	583	1450
287	585	1447
288	587	1445
289	589	1442
290	591	1440
291	592	1437
292	595	1436
293	596	1433
294	598	1430
295	600	1428
296	602	1425
297	603	1422
298	605	1420
299	607	1417
300	609	1415
301	611	1413
302	613	1411
303	615	1409
304	617	1406
305	619	1404
306	621	1402
307	623	1400
308	625	1399
309	627	1397
310	629	1394
311	630	1391
312	632	1388
313	634	1385
314	635	1383
315	637	1380
316	639	1377
317	641	1374
318	642	1372
319	644	1370
320	646	1368
321	649	1366
322	651	1364
323	653	1362
324	654	1360
325	656	1358
326	658	1356
327	660	1353
328	662	1351
329	664	1348
330	665	1345
331	667	1343
332	669	1341
333	671	1338
334	673	1336
335	675	1334
336	677	1332
337	679	1330
338	681	1328
339	683	1326
340	685	1324
341	687	1322
342	689	1320
343	690	1317
344	692	1315
345	694	1313
346	696	1311
347	699	1309
348	701	1307
349	702	1305
350	705	1303
351	706	1301
352	708	1298
353	710	1296
354	712	1294
355	714	1292
356	716	1290
357	718	1288
358	720	1286
359	722	1284
360	724	1282
361	726	1279
362	728	1278
363	730	1276
364	732	1274
365	734	1271
366	736	1269
367	738	1267
368	740	1265
369	742	1263
370	744	1261
371	745	1259
372	748	1257
373	749	1255
374	751	1253
375	753	1250
376	755	1248
377	757	1246
378	759	1244
379	761	1242
380	763	1240
381	765	1238
382	767	1236
383	769	1234
384	771	1232
385	773	1230
386	775	1227
387	777	1226
388	779	1224
389	781	1222
390	783	1219
391	785	1217
392	787	1216
393	789	1214
394	791	1212
395	793	1209
396	795	1207
397	797	1205
398	799	1204
399	801	1202
400	803	1200
401	805	1197
402	807	1195
403	809	1193
404	811	1192
405	813	1190
406	814	1187
407	816	1184
408	818	1182
409	820	1180
410	822	1179
411	824	1176
412	826	1174
413	828	1172
414	830	1170
415	832	1168
416	834	1166
417	835	1163
418	837	1161
419	839	1158
420	840	1156
421	842	1154
422	844	1152
423	846	1150
424	848	1147
425	849	1145
426	851	1143
427	853	1141
428	855	1139
429	857	1137
430	860	1135
431	862	1133
432	863	1131
433	865	1129
434	867	1126
435	869	1125
436	871	1122
437	873	1120
438	875	1118
439	877	1117
440	879	1114
441	881	1112
442	882	1109
443	884	1108
444	886	1106
445	888	1104
446	890	1102
447	892	1099
448	895	1099
449	897	1097
450	899	1095
451	902	1094
452	904	1092
453	906	1090
454	908	1088
455	910	1086
456	912	1084
457	914	1082
458	916	1080
459	918	1077
460	919	1075
461	921	1073
462	924	1071
463	925	1069
464	927	1067
465	929	1065
466	931	1063
467	933	1061
